benchmark,original_2q,ours_2q,qiskit_2q,guoq_2q,quartz_2q,tket_2q,queso_2q
portfoliovqe_nativegates_ibm_tket_8,84,84,84.0,84.0,84.0,84.0,84.0
qaoa_10,85,43,75.0,52.0,53.0,40.0,53.0
qft_10_quest,216,81,190.0,107.0,135.0,107.0,115.0
qpeexact_nativegates_ibm_tket_8,64,64,64.0,64.0,64.0,55.0,64.0
qpeinexact_nativegates_ibm_tket_8,65,65,65.0,65.0,65.0,56.0,65.0
sf_274,336,228,336.0,232.0,316.0,336.0,263.0
sf_276,336,220,336.0,241.0,316.0,336.0,283.0
sym6_316,123,90,123.0,91.0,106.0,123.0,96.0
vqe_uccsd_n4,88,51,71.0,70.0,82.0,61.0,88.0
qf21_n15,115,115,,,,,
