benchmark,original_2q,ours_2q,ours_fid,qiskit_2q,qiskit_fid,guoq_2q,guoq_fid,quartz_2q,quartz_fid,tket_2q,tket_fid,queso_2q,queso_fid
alu-bdd_288,38,30,0.7052912163,38,0.644253475469567,30,0.7052912163294454,30,0.706482008749294,38,0.6438913036668152,33,0.681321115799285
alu-v0_27,17,13,0.8591583524,17,0.8211402941993021,15,0.8398161800831451,15,0.8402885544391718,17,0.8206786841778031,15,0.8398161800831451
alu-v1_28,18,13,0.8593999453,18,0.8117304203551061,13,0.8593999453465048,14,0.8500294845456662,18,0.8112741001630044,15,0.8398161800831451
alu-v1_29,17,13,0.8591583524,17,0.8209094567422508,15,0.839344071275817,15,0.8398161800831451,17,0.8204479764877164,15,0.839344071275817
alu-v2_30,223,168,0.1413042586,221,0.0773832175411242,170,0.1383562884866544,222,0.0764319475053042,219,0.0789431969532832,199,0.0990462832885686
alu-v3_34,24,17,0.8204479765,24,0.7570670749209976,19,0.8015264507718172,21,0.783702054335428,24,0.7566414841282924,21,0.7832614904942596
alu-v4_37,18,14,0.8497905258,18,0.8117304203551061,16,0.8301922895461414,16,0.8306592507186613,17,0.8206786841778031,16,0.8301922895461414
barenco_tof_3,24,19,0.8019772882,24,0.7570670749209976,21,0.783702054335428,22,0.7747212047597479,24,0.7570670749209976,22,0.7747212047597479
cm42a_207,771,573,0.0012651815,771,0.0001332321927663,580,0.0011648212711282,771,0.000128884519886,769,0.0001360327312722,771,0.000128884519886
cm82a_208,283,216,0.0808521061,283,0.0378174855059419,217,0.0798581931115895,283,0.037637161287705,282,0.0380413645280544,247,0.0565136317703233
csum_mux_9,168,159,0.1578104125,168,0.1421010723814369,151,0.1727130902552346,168,0.1419812644875362,168,0.1409867855359028,168,0.1419812644875362
cycle10_2_110,2648,2051,0.0,2644,5.1564772265244895e-14,2112,2.167622239763568e-11,2646,4.6028215163678225e-14,2638,5.5024331878735195e-14,2523,4.4979337087599855e-14
dc1_220,833,621,0.0007253434,833,6.525771805729769e-05,608,0.0008416417545869,833,6.296866972884409e-05,833,6.525771805729769e-05,833,6.293327143065725e-05
decod24-v3_45,64,51,0.5518065217,64,0.4759589729973207,49,0.5640394652555768,57,0.5155158202263153,64,0.4760928113373289,55,0.5263519543089634
ex1_226,5,5,0.9434699652,5,0.9434699651600734,5,0.9429395866194296,5,0.9429395866194296,5,0.9434699651600734,5,0.9429395866194296
f2_232,525,388,0.0109038586,525,0.0022966824084449,392,0.010424289451696,525,0.0022557252914996,525,0.0022966824084449,476,0.0039589583092946
gf2^10_mult,609,573,0.0013376105,609,0.0008850848000261,576,0.0012946958939737,609,0.0008850848000261,609,0.0008850848000261,609,0.0008850848000261
gf2^4_mult,99,90,0.3528153975,99,0.3182305446638356,93,0.3410162815408095,99,0.3182305446638356,99,0.3182305446638356,99,0.3182305446638356
gf2^8_mult,405,382,0.012095739,405,0.0093130579632607,376,0.0130092729527646,405,0.0093130579632607,402,0.0096325798197723,405,0.0093130579632607
ham15-med,534,370,0.0135276083,533,0.0020885051717342,376,0.0127629147973548,534,0.0020657331713983,498,0.0031227779665256,534,0.0020657331713983
ham7_104,149,101,0.3077605039,149,0.1780373309966643,112,0.2721067339748758,142,0.1929966939218927,145,0.1864374882375057,130,0.2211258587076946
heisenberg_step_10_4,180,114,0.2470225691,120,0.2446750531926463,120,0.2265337202840754,120,0.2280674899858329,100,0.3075869469133613,120,0.2265337202840754
heisenberg_step_20_4,360,240,0.0512886779,240,0.0600006872291258,240,0.0513463911750461,314,0.0218949532700241,200,0.0947161907778295,360,0.0128778949210529
heisenberg_step_30_4,540,360,0.0116415042,360,0.014713729172597,360,0.0116382315330129,524,0.0017588236810833,300,0.0291662467653061,540,0.001461804925404
heisenberg_step_35_4,630,420,0.0055113187,420,0.0072862828209208,420,0.005540838945178,618,0.0005658774763301,350,0.0161848510537193,420,0.005540838945178
heisenberg_step_45_4,810,540,0.001256246,540,0.0017867860695091,540,0.0012558928691069,804,5.9942340921571006e-05,450,0.0049838507631685,540,0.0012558928691069
heisenberg_step_50_4,900,600,0.0006002755,600,0.0008848218211853,600,0.0005979173124696,896,1.9735352466554315e-05,500,0.0027656243508094,600,0.0005979173124696
hlf_10,56,37,0.6477031318,54,0.5321542946335854,38,0.6415421445272392,43,0.6056161963195508,24,0.752398712728112,46,0.5850336613717568
hwb4_49,107,73,0.4270157081,104,0.2997348975251262,77,0.4084644969048478,99,0.3178728539754258,99,0.3154689351630775,88,0.3598266715692521
hwb5_53,598,448,0.0054484233,598,0.0009823752820938,459,0.004813167028525,598,0.0009719354609612,593,0.0010295919490867,551,0.0016669442021279
hwb6,116,94,0.3337135062,115,0.2630806941770562,100,0.3124681775613326,114,0.2659060419296897,111,0.2745654486060925,103,0.3018486016255924
hwb6_56,2952,2323,0.0,2952,1.431361425290622e-15,2326,1.7979804564174096e-12,2952,1.322256263621402e-15,2940,1.6243791033576633e-15,2952,1.322256263621402e-15
ising_model_13,120,114,0.2581708211,120,0.2392331026246937,120,0.2409205819454676,120,0.2409205819454676,120,0.2426881883041074,120,0.2409205819454676
ising_model_16,150,146,0.1768888006,150,0.16745298998702,150,0.1689188705113241,150,0.1689188705113241,150,0.1704454986546282,150,0.1689188705113241
majority_239,267,192,0.1068265206,267,0.0455270743969003,196,0.1020707076547746,267,0.0454375605021776,266,0.046054840778235,238,0.0629025655432961
miller_11,23,15,0.8395800925,23,0.7658432714118036,15,0.8398161800831451,20,0.7927870131811338,19,0.7936776955940268,20,0.7927870131811338
adr4_197,1498,1165,1.3004e-06,1498,2.985086619871354e-08,1134,1.8526402670547123e-06,1498,2.791089653959681e-08,1491,3.2195697485863696e-08,1498,2.791089653959681e-08
mod10_171,108,81,0.38896551,108,0.2860690878353684,77,0.408005383379956,96,0.3285015597622208,107,0.2893853045986596,85,0.3720673463690555
mod10_176,78,49,0.5651506466,78,0.4052622397352688,59,0.5032021551270157,69,0.449431919565734,77,0.4099601868050077,65,0.4695796200068612
mod5_4,28,15,0.8402885544,28,0.7229565399029606,25,0.7481810629968333,27,0.7311317224755078,28,0.7229565399029606,27,0.7311317224755078
mod_mult_55,48,41,0.6185201161,48,0.5715413623039949,44,0.5988444713052943,46,0.5851981712109009,48,0.5699366866958492,46,0.5850336613717568
mod_red_21,105,84,0.3746911325,105,0.295219064575303,91,0.3460374011226517,105,0.2947214657406017,104,0.2943069172756696,94,0.3342769380684359
muliply_5,20,19,0.7939008756,20,0.7890067856893355,20,0.7812806263236307,17,0.8172248704308174,14,0.8469282553146487,20,0.7812806263236307
multiply_10,163,86,0.3683210508,132,0.2137304224566241,92,0.3443880117964978,111,0.2766576769479539,104,0.2943896755626141,100,0.3140535367669682
one-two-three-v0_97,128,86,0.3667709772,128,0.2270470582853345,95,0.3311903813581579,123,0.2405157879960621,128,0.2270470582853345,110,0.2786086425212613
one-two-three-v1_99,59,41,0.6197386266,59,0.5051867666736266,44,0.5991813054580548,54,0.5351551092064439,58,0.5093217762279098,52,0.5464040608212158
one-two-three-v2_100,32,24,0.7557910202,32,0.6898008207313918,24,0.7562161325845637,24,0.7562161325845637,31,0.6977972423732783,28,0.7221439377603176
qcla_adder_10,233,194,0.1053356469,213,0.0839322790454618,180,0.1238503294833316,228,0.0712247850232907,205,0.092376333436253,210,1.0
qcla_com_7,186,134,0.2098606671,174,0.132011090686383,139,0.1984430850573321,186,0.1155100318020967,174,0.1311970603247189,152,0.1708299143825903
